permno,ticker,comnam,permco
88319,VC,VISTEON CORP,37682
80135,SFN,SPHERION CORP,12806
86783,PCLN,PRICELINE COM INC,16454
78050,BAMM,BOOKS A MILLION INC,11785
57913,NABI,N A B I BIOPHARMACEUTICALS,3133
87583,AGEN,ANTIGENICS INC DEL,17936
90491,WOLF,GREAT WOLF RESORTS INC,46011
85495,PHCC,PRIORITY HEALTHCARE CORP,15777
19721,VVI,VIAD CORP,20851
76858,INNO,INNOVO GROUP INC,10831
52250,,GENCOR INDUSTRIES INC,2809
82554,ZANE,ZANETT INC,14170
80763,RFMI,R F MONOLITHICS INC,13229
90400,ADES,ADA ES INC,45708
88459,PACT,PACIFICNET INC,37950
11752,IIVI,II VI INC,9558
18033,SVNT,SAVIENT PHARMACEUTICALS INC,6438
75912,PMTC,PARAMETRIC TECHNOLOGY CORP,10408
79758,BYD,BOYD GAMING CORP,29992
80159,TFCO,TUFCO TECHNOLOGIES INC,12788
82816,SPRI,SPORTS RESORTS INTL INC,14278
84549,MTIX,MICRO THERAPEUTICS INC NEW,15343
88451,KERX,KERYX BIOPHARMACEUTICALS INC,37943
86290,CVV,C V D EQUIPMENT CORP,7721
22752,MRK,MERCK & CO INC,21188
53480,MCRS,MICROS SYSTEMS INC,2829
38973,PAS,PEPSIAMERICAS INC NEW,20953
87644,WEBM,WEBMETHODS INC,17969
80585,CPD,CARACO PHARMACEUTICAL LABS LTD,12845
80165,WRLS,TELULAR CORP,12802
80415,EXP,EAGLE MATERIALS INC,30381
80504,HLR,HOLLINGER INTERNATIONAL INC,13046
86720,EXBD,CORPORATE EXECUTIVE BOARD CO,16422
83333,PSS,PAYLESS SHOESOURCE INC,31616
80942,MTLG,METROLOGIC INSTRUMENTS INC,13339
83896,,PURE BIOSCIENCE,14882
79742,ULTE,ULTIMATE ELECTRONICS INC,12482
86959,DITC,DITECH COMMUNICATIONS CORP,16574
82846,STKR,STOCKERYALE INC,14318
87763,DTAS,DIGITAS INC,18407
85354,AMEN,AMEN PROPERTIES INC,15709
27684,AVT,AVNET INC,20239
11663,HLD,HAROLDS STORES INC,9484
80368,SUPVA,SUPER VISION INTERNATIONAL INC,12935
45495,RDC,ROWAN COMPANIES INC,21532
83359,,WIRELESS XCESSORIES GROUP INC,14515
23887,CZN,CITIZENS COMMUNICATIONS CO,925
79686,DECK,DECKERS OUTDOOR CORP,12484
14541,CVX,CHEVRONTEXACO CORP,20440
87482,DMRC,DIGIMARC CORP,17474
66050,RUS,RUSS BERRIE & CO,21538
80258,NTII,NEUROBIOLOGICAL TECHNOLOGIES INC,12854
87054,HAWK,PETROHAWK ENERGY CORP,16643
85333,HILL,DOT HILL SYSTEMS CORP,32070
84438,SNHY,SUN HYDRAULICS CORP,15267
89770,MSPD,MINDSPEED TECHNOLOGIES INC,44130
65365,MYE,MYERS INDUSTRIES INC,3102
83382,,INFONAUTICS INC,14568
80537,IBIS,IBIS TECHNOLOGY CORP,13094
88249,FHRX,FIRST HORIZON PHARMACEUTICAL COR,37513
76336,CRFT,CRAFTMADE INTERNATIONAL INC,10557
88540,LSBC,LARGE SCALE BIOLOGY CORP,38438
81212,ICCA,INTERNET COMMERCE CORP,13509
24248,ALE,ALLETE INC,21206
87333,NAVI,NAVISITE INC,17215
90180,ATLS,ATLAS AMERICA INC,45193
75672,,URANIUM RESOURCES INC,10070
80191,ALB,ALBEMARLE CORP,30249
23229,CMS,C M S ENERGY CORP,20361
26825,K,KELLOGG CO,21041
90379,GME,GAMESTOP CORP,42775
49905,LIZ,LIZ CLAIBORNE INC,2678
17806,PD,PHELPS DODGE CORP,22806
59256,,CROWN CRAFTS INC,20538
79529,,THOMAS GROUP INC,12367
85272,AEHR,AEHR TEST SYSTEMS,15658
83582,ZOMX,ZOMAX INC MINN,14593
90175,SZI,SEGMENTZ INC,45186
43123,ATI,ALLEGHENY TECHNOLOGIES,21722
85320,TACX,A CONSULTING TEAM INC,15641
